ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,PrevCC,CC,PrevCCL,CCL,PrevCCO,CCO,PrevCI,CI,PrevCLC,CLC,PrevCLLC,CLLC,PrevLDC,LDC,PrevLLDC,LLDC,PrevLCOM5,LCOM5,PrevNL,NL,PrevNLE,NLE,PrevWMC,WMC,PrevCBO,CBO,PrevCBOI,CBOI,PrevNII,NII,PrevNOI,NOI,PrevRFC,RFC,PrevAD,AD,PrevCD,CD,PrevCLOC,CLOC,PrevDLOC,DLOC,PrevPDA,PDA,PrevPUA,PUA,PrevTCD,TCD,PrevTCLOC,TCLOC,PrevDIT,DIT,PrevNOA,NOA,PrevNOC,NOC,PrevNOD,NOD,PrevNOP,NOP,PrevLLOC,LLOC,PrevLOC,LOC,PrevNA,NA,PrevNG,NG,PrevNLA,NLA,PrevNLG,NLG,PrevNLM,NLM,PrevNLPA,NLPA,PrevNLPM,NLPM,PrevNLS,NLS,PrevNM,NM,PrevNOS,NOS,PrevNPA,NPA,PrevNPM,NPM,PrevNS,NS,PrevTLLOC,TLLOC,PrevTLOC,TLOC,PrevTNA,TNA,PrevTNG,TNG,PrevTNLA,TNLA,PrevTNLG,TNLG,PrevTNLM,TNLM,PrevTNLPA,TNLPA,PrevTNLPM,TNLPM,PrevTNLS,TNLS,PrevTNM,TNM,PrevTNOS,TNOS,PrevTNPA,TNPA,PrevTNPM,TNPM,PrevTNS,TNS,PrevWarningBlocker,WarningBlocker,PrevWarningCritical,WarningCritical,PrevWarningInfo,WarningInfo,PrevWarningMajor,WarningMajor,PrevWarningMinor,WarningMinor,PrevAndroid Rules,Android Rules,PrevBasic Rules,Basic Rules,PrevBrace Rules,Brace Rules,PrevClone Implementation Rules,Clone Implementation Rules,PrevClone Metric Rules,Clone Metric Rules,PrevCode Size Rules,Code Size Rules,PrevCohesion Metric Rules,Cohesion Metric Rules,PrevComment Rules,Comment Rules,PrevComplexity Metric Rules,Complexity Metric Rules,PrevControversial Rules,Controversial Rules,PrevCoupling Metric Rules,Coupling Metric Rules,PrevCoupling Rules,Coupling Rules,PrevDesign Rules,Design Rules,PrevDocumentation Metric Rules,Documentation Metric Rules,PrevEmpty Code Rules,Empty Code Rules,PrevFinalizer Rules,Finalizer Rules,PrevImport Statement Rules,Import Statement Rules,PrevInheritance Metric Rules,Inheritance Metric Rules,PrevJ2EE Rules,J2EE Rules,PrevJUnit Rules,JUnit Rules,PrevJakarta Commons Logging Rules,Jakarta Commons Logging Rules,PrevJava Logging Rules,Java Logging Rules,PrevJavaBean Rules,JavaBean Rules,PrevMigratingToJUnit4 Rules,MigratingToJUnit4 Rules,PrevMigration Rules,Migration Rules,PrevMigration13 Rules,Migration13 Rules,PrevMigration14 Rules,Migration14 Rules,PrevMigration15 Rules,Migration15 Rules,PrevNaming Rules,Naming Rules,PrevOptimization Rules,Optimization Rules,PrevSecurity Code Guideline Rules,Security Code Guideline Rules,PrevSize Metric Rules,Size Metric Rules,PrevStrict Exception Rules,Strict Exception Rules,PrevString and StringBuffer Rules,String and StringBuffer Rules,PrevType Resolution Rules,Type Resolution Rules,PrevUnnecessary and Unused Code Rules,Unnecessary and Unused Code Rules,PrevVulnerability Rules,Vulnerability Rules,REMOVE_PARAMETER,ADD_PARAMETER,REPLACE_MAGIC_NUMBER_WITH_CONSTANT,REMOVE_ASSIGNMENT_TO_PARAMETERS,INTRODUCE_EXPLAINING_VARIABLE,INLINE_TEMP,REMOVE_CONTROL_FLAG,CONSOLIDATE_COND_EXPRESSION,CONSOLIDATE_DUPLICATE_COND_FRAGMENTS,REPLACE_NESTED_COND_WITH_GUARD_CLAUSES,INLINE_METHOD,EXTRACT_METHOD,REPLACE_EXCEPTION_WITH_TEST,INTRODUCE_ASSERTION,RENAME_METHOD,REPLACE_METHOD_WITH_METHOD_OBJECT,MOVE_METHOD,HIDE_METHOD,INTRODUCE_NULL_OBJECT,INTRODUCE_LOCAL_EXTENSION,EXTRACT_SUPERCLASS,EXTRACT_INTERFACE,MOVE_FIELD,Refact_Sum,PrevRMI,RMI,RMIDiff
L57592,Axis,plotter.Axis,L57185,L103,Plotter\src\main\java\plotter\Axis.java,33,1,198,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,18,18,0,0,70,69,116,112,0,0,15,15,1,1,"0,536232","0,536232",74,74,74,74,16,16,0,0,"0,536232","0,536232",74,74,0,0,0,0,5,5,9,8,0,0,64,64,166,166,8,8,6,6,8,8,6,6,15,15,0,0,15,15,7,7,15,15,23,23,0,0,15,15,7,7,64,64,166,166,8,8,6,6,8,8,6,6,15,15,0,0,15,15,7,7,15,15,23,23,0,0,15,15,7,7,0,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,61696635007e-06","-1,09e-06","1,52696635007e-06"
L57677,AxisLabel,plotter.AxisLabel,L57185,L103,Plotter\src\main\java\plotter\AxisLabel.java,30,1,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,0,0,2,2,1,1,"0,56","0,56",14,14,14,14,3,3,0,0,"0,56","0,56",14,14,0,0,0,0,0,0,0,0,0,0,11,11,26,26,2,2,1,1,2,2,1,1,2,2,0,0,2,2,0,0,2,2,3,3,0,0,2,2,0,0,11,11,26,26,2,2,1,1,2,2,1,1,2,2,0,0,2,2,0,0,2,2,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000155199891279","0,000148148","-7,05189127921e-06"
L26094,DateNumberFormat,plotter.DateNumberFormat,L57185,L103,Plotter\src\main\java\plotter\DateNumberFormat.java,34,1,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,8,8,8,8,0,0,6,6,"0,571429","0,571429","0,355556","0,355556",16,16,16,16,4,4,3,3,"0,355556","0,355556",16,16,0,0,0,0,0,0,0,0,0,0,29,29,55,55,3,3,1,1,3,3,1,1,6,6,0,0,6,6,0,0,6,6,9,9,0,0,6,6,0,0,29,29,55,55,3,3,1,1,3,3,1,1,6,6,0,0,6,6,0,0,6,6,9,9,0,0,6,6,0,0,0,0,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000105158274241","0,000100851","-4,3072742414e-06"
L24267,DoubleData,plotter.DoubleData,L57185,L103,Plotter\src\main\java\plotter\DoubleData.java,28,1,236,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,1,25,25,0,0,26,26,209,209,0,0,21,21,"0,952381","0,952381","0,705882","0,705882",120,120,119,119,20,20,1,1,"0,705882","0,705882",120,120,0,0,0,0,2,2,2,2,0,0,50,50,209,209,3,3,2,2,3,3,2,2,21,21,0,0,20,20,1,1,21,21,13,13,0,0,20,20,1,1,50,50,209,209,3,3,2,2,3,3,2,2,21,21,0,0,20,20,1,1,21,21,13,13,0,0,20,20,1,1,0,0,0,0,8,8,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,43081359875e-05","-4,05e-05","3,80813598755e-06"
L57803,DoubleDataDouble,plotter.DoubleDataDouble,L57185,L103,Plotter\src\main\java\plotter\DoubleDataDouble.java,28,1,492,2,"0,893249","0,893249",15,15,80,80,16,16,"0,578495","0,578495","0,847682","0,847682",269,269,256,256,1,1,3,3,3,3,95,95,1,1,5,5,37,37,3,3,22,22,"0,95","0,95","0,297674","0,297674",128,128,114,114,19,19,1,1,"0,297674","0,297674",128,128,1,1,1,1,0,0,0,0,1,1,302,302,465,465,5,5,2,2,2,2,1,1,19,19,0,0,19,19,1,1,24,24,190,190,0,0,23,23,1,1,302,302,465,465,5,5,2,2,2,2,1,1,19,19,0,0,19,19,1,1,24,24,190,190,0,0,23,23,1,1,0,0,0,0,99,99,6,6,2,2,0,0,0,0,0,0,1,1,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000467116015729","-0,000442133","2,49830157292e-05"
L57525,DoubleDataFloat,plotter.DoubleDataFloat,L57185,L103,Plotter\src\main\java\plotter\DoubleDataFloat.java,28,1,593,2,"0,790581","0,790581",15,15,97,97,20,20,"0,524735","0,524735","0,756684","0,756684",297,297,283,283,1,1,3,3,3,3,120,120,1,1,2,2,40,40,3,3,26,26,"0,956522","0,956522","0,284895","0,284895",149,149,133,133,22,22,1,1,"0,284895","0,284895",149,149,1,1,1,1,0,0,0,0,1,1,374,374,566,566,5,5,2,2,2,2,1,1,23,23,0,0,22,22,1,1,28,28,238,238,0,0,26,26,1,1,374,374,566,566,5,5,2,2,2,2,1,1,23,23,0,0,22,22,1,1,28,28,238,238,0,0,26,26,1,1,0,0,0,0,117,117,7,7,2,2,0,0,0,0,0,0,1,1,101,101,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000578375449335","-0,000546997","3,13784493347e-05"
L57370,ExpFormat,plotter.ExpFormat,L57185,L103,Plotter\src\main\java\plotter\ExpFormat.java,34,1,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,5,0,0,2,2,3,3,0,0,5,5,"0,5","0,5","0,405405","0,405405",15,15,15,15,3,3,3,3,"0,405405","0,405405",15,15,0,0,0,0,0,0,0,0,0,0,22,22,42,42,2,2,1,1,2,2,1,1,5,5,0,0,5,5,0,0,5,5,5,5,0,0,5,5,0,0,22,22,42,42,2,2,1,1,2,2,1,1,5,5,0,0,5,5,0,0,5,5,5,5,0,0,5,5,0,0,0,0,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000116446426882","0,000111536","-4,91042688236e-06"
L57336,IntegerTickMarkCalculator,plotter.IntegerTickMarkCalculator,L57185,L103,Plotter\src\main\java\plotter\IntegerTickMarkCalculator.java,29,1,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,2,2,3,3,1,1,2,2,3,3,"0,5","0,5","0,117647","0,117647",4,4,4,4,1,1,1,1,"0,117647","0,117647",4,4,1,1,1,1,0,0,0,0,1,1,30,30,32,32,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,21,21,0,0,1,1,0,0,30,30,32,32,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,21,21,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000112372938682","0,000107537","-4,83593868249e-06"
L58100,LinearTickMarkCalculator,plotter.LinearTickMarkCalculator,L57185,L103,Plotter\src\main\java\plotter\LinearTickMarkCalculator.java,32,1,164,2,"0,912127","0,912127",6,6,37,37,9,9,"0,87218","0,87218","0,863248","0,863248",116,116,101,101,1,1,3,3,2,2,18,18,2,2,1,1,1,1,2,2,3,3,"0,5","0,5","0,0859375","0,0859375",11,11,4,4,1,1,1,1,"0,0859375","0,0859375",11,11,1,1,1,1,0,0,0,0,1,1,117,117,133,133,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,103,103,0,0,1,1,0,0,117,117,133,133,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,103,103,0,0,1,1,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-6,47176866254e-05","-6,19e-05","2,81768662542e-06"
L57365,LogTickMarkCalculator,plotter.LogTickMarkCalculator,L57185,L103,Plotter\src\main\java\plotter\LogTickMarkCalculator.java,33,1,84,2,"0,235772","0,235772",2,2,4,4,2,2,"0,25","0,25","0,255814","0,255814",13,13,11,11,1,1,3,3,3,3,8,8,2,2,2,2,1,1,2,2,3,3,1,1,"0,14","0,14",7,7,5,5,2,2,0,0,"0,14","0,14",7,7,1,1,1,1,0,0,0,0,1,1,43,43,52,52,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,38,38,0,0,1,1,0,0,43,43,52,52,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,38,38,0,0,1,1,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,07690728478e-05","6,77e-05","-3,06907284775e-06"
L58114,MultiLineLabelUI,plotter.MultiLineLabelUI,L57185,L103,Plotter\src\main\java\plotter\MultiLineLabelUI.java,53,1,465,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,77,77,1,1,1,1,0,0,1,1,14,14,"0,333333","0,333333","0,174927","0,174927",60,60,23,23,3,3,6,6,"0,174927","0,174927",60,60,0,0,0,0,0,0,0,0,0,0,283,283,413,413,8,8,4,4,8,8,4,4,13,13,2,2,8,8,0,0,13,13,195,195,2,2,8,8,0,0,283,283,413,413,8,8,4,4,8,8,4,4,13,13,2,2,8,8,0,0,13,13,195,195,2,2,8,8,0,0,0,0,2,2,40,40,5,5,65,65,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,5,5,3,3,0,0,0,0,51,51,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,2,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000311313486374","-0,000292685","1,86284863739e-05"
L58283,Plot,plotter.Plot,L57185,L103,Plotter\src\main\java\plotter\Plot.java,32,1,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,2,2,1,1,"0,761905","0,761905",16,16,16,16,3,3,0,0,"0,761905","0,761905",16,16,0,0,0,0,1,1,3,3,0,0,5,5,21,21,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,2,2,0,0,5,5,21,21,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000160166663358","0,000152851","-7,31566335839e-06"
L58313,Shapes,plotter.Shapes,L57185,L103,Plotter\src\main\java\plotter\Shapes.java,14,1,168,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,1,1,1,11,11,0,0,1,1,1,1,0,0,8,8,1,1,"0,35461","0,35461",50,50,45,45,9,9,0,0,"0,35461","0,35461",50,50,0,0,0,0,0,0,0,0,0,0,91,91,155,155,0,0,0,0,0,0,0,0,8,8,0,0,8,8,0,0,8,8,76,76,0,0,8,8,0,0,91,91,155,155,0,0,0,0,0,0,0,0,8,8,0,0,8,8,0,0,8,8,76,76,0,0,8,8,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-5,44428177331e-05","-4,96e-05","4,84281773315e-06"
L23782,TimeSystemFormattedLabel,plotter.TimeSystemFormattedLabel,L57185,L103,Plotter\src\main\java\plotter\TimeSystemFormattedLabel.java,31,1,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,2,2,0,0,4,4,1,1,"0,560976","0,560976",23,23,23,23,5,5,0,0,"0,560976","0,560976",23,23,0,0,0,0,0,0,0,0,0,0,18,18,45,45,3,3,2,2,3,3,2,2,4,4,0,0,4,4,2,2,4,4,5,5,0,0,4,4,2,2,18,18,45,45,3,3,2,2,3,3,2,2,4,4,0,0,4,4,2,2,4,4,5,5,0,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000138103144744","0,000131961","-6,14214474416e-06"
L26218,TimeTickMarkCalculator,plotter.TimeTickMarkCalculator,L57185,L103,Plotter\src\main\java\plotter\TimeTickMarkCalculator.java,32,1,241,2,"0,543974","0,543974",5,5,35,35,8,8,"0,538095","0,538095","0,531915","0,531915",113,113,100,100,1,1,8,8,2,2,34,34,2,2,7,7,1,1,2,2,3,3,"0,5","0,5","0,0646766","0,0646766",13,13,4,4,1,1,1,1,"0,0646766","0,0646766",13,13,1,1,1,1,0,0,0,0,1,1,188,188,210,210,3,3,0,0,3,3,0,0,1,1,0,0,1,1,0,0,1,1,161,161,0,0,1,1,0,0,188,188,210,210,3,3,0,0,3,3,0,0,1,1,0,0,1,1,0,0,1,1,161,161,0,0,1,1,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000112556324973","-0,000106157","6,39932497309e-06"
L59686,CountingGraphics,plotter.CountingGraphics,L57185,L103,Plotter\src\test\java\plotter\CountingGraphics.java,43,1,174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,15,15,1,1,7,7,104,104,4,4,14,14,"0,5","0,5","0,206897","0,206897",24,24,24,24,5,5,5,5,"0,206897","0,206897",24,24,1,1,1,1,0,0,0,0,1,1,92,92,132,132,7,7,20,20,6,6,3,3,10,10,0,0,9,9,0,0,93,93,52,52,0,0,92,92,13,13,92,92,132,132,7,7,20,20,6,6,3,3,10,10,0,0,9,9,0,0,93,93,52,52,0,0,92,92,13,13,0,0,0,0,20,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,000190128412356","-0,000179497","1,06314123561e-05"
L59625,DoubleDiffer,plotter.DoubleDiffer,L57185,L103,Plotter\src\test\java\plotter\DoubleDiffer.java,31,1,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,1,1,4,4,0,0,2,2,1,1,"0,625","0,625",15,15,15,15,3,3,0,0,"0,625","0,625",15,15,0,0,0,0,0,0,0,0,0,0,9,9,24,24,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,2,2,2,2,0,0,2,2,0,0,9,9,24,24,1,1,0,0,1,1,0,0,2,2,0,0,2,2,0,0,2,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000141271668426","0,000135038","-6,23366842648e-06"
L60270,GraphicsProxy,plotter.GraphicsProxy,L57185,L103,Plotter\src\test\java\plotter\GraphicsProxy.java,55,1,489,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,83,83,0,0,7,7,11,11,0,0,83,83,"0,047619","0,047619","0,0656934","0,0656934",18,18,18,18,4,4,80,80,"0,0656934","0,0656934",18,18,0,0,0,0,1,1,1,1,0,0,256,256,435,435,1,1,17,17,1,1,17,17,83,83,0,0,83,83,13,13,83,83,83,83,0,0,83,83,13,13,256,256,435,435,1,1,17,17,1,1,17,17,83,83,0,0,83,83,13,13,83,83,83,83,0,0,83,83,13,13,0,0,0,0,185,185,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-0,0004231018642","-0,000399143","2,39588642002e-05"
L60771,JUnitAll,plotter.JUnitAll,L57185,L103,Plotter\src\test\java\plotter\JUnitAll.java,28,1,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,10,10,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,12,12,0,0,1,1,0,0,16,16,16,16,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,12,12,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,10329937958e-05","6,76e-05","-3,43299379585e-06"
L60774,JUnitDateNumberFormat,plotter.JUnitDateNumberFormat,L57185,L103,Plotter\src\test\java\plotter\JUnitDateNumberFormat.java,31,1,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,1,1,1,1,0,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,21,21,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,13,13,0,0,2,2,0,0,19,19,21,21,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,13,13,0,0,2,2,0,0,0,0,0,0,8,8,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,7,7,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,000115269831718","0,000110413","-4,85683171783e-06"
